country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,True,432,345,87,100.0,0.6823262764977873,0.6980968673133899,0.8356691042973096,0.6983428518770677,0.9526481876484201,0.9785020465261094,0.9574662550557843,0.49799970513052705,0.7306944697117735,0.5339144080673699,0.5421039752761683,0.7519688942696492,0.5654572179491189
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,True,432,345,87,100.0,0.5572624576838765,0.5964796931821936,0.784695236115897,0.6157466135829833,0.9609116386669202,0.9815912295386146,0.9635213419071291,0.6985639728520843,0.8375456729701339,0.7014827543109945,0.6964185845376945,0.8351343852632531,0.6974494414490316
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,432,345,87,1000.0,0.4356955188999967,0.45848621824730496,0.6839774217567929,0.4678251134730697,0.6955315689770492,0.8411809158832732,0.7075853332462223,0.2998017344290359,0.5912669095355153,0.34959655831167924,0.39308074627963085,0.6486584684403989,0.42075780867944396
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,True,376,300,76,1000.0,0.6240962114724633,0.6166219160478916,0.7914494203462845,0.6263921849664698,0.9245679104173431,0.9641662890375932,0.9296166329165236,0.7204310938129476,0.8625393392313538,0.7439741117216605,0.5657773499220456,0.7523721851079223,0.5660639049240697
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,384,307,77,10000.0,0.650954782450853,0.6572136605900392,0.8129045570006004,0.6608138187923424,0.7971979173203889,0.8997859944448301,0.8096148357990718,0.7062990652024717,0.8429800174021718,0.7106153097393658,0.4106455225852055,0.6430410299077117,0.41350176614477063
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,923,738,185,1000.0,0.5659282621491337,0.5666197559692399,0.7555504630018848,0.5708565021423625,0.8723638509005146,0.9385327232173971,0.8808436725498633,0.5234711425324112,0.729579349638011,0.5322860274182231,0.5493350123929468,0.7441555469757994,0.5537674780948513
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,True,426,340,86,1000.0,0.6388818795285587,0.6506393718411423,0.807179943733378,0.6515394615654192,0.9328712126463026,0.9689109152351743,0.9387883616618631,0.6406079205150752,0.815104438477143,0.6643952456251385,0.666982487024164,0.818541055258792,0.6700094591441766
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,384,307,77,10000.0,0.6480443716658855,0.6543770467836771,0.8110344345100051,0.6577768539609637,0.793996444436829,0.8978814290014808,0.8061910605457413,0.7016784673136705,0.8400897306517862,0.7057507555465906,0.4091291941517081,0.6416249839850567,0.41168262007382433
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,100.0,0.6137597087599136,0.6209370197932549,0.8048548300301858,0.6477912974229192,0.9814761804440952,0.9914413275574487,0.9829559059888764,0.5119826470224745,0.7544520405001272,0.5691978814148055,0.6790522065998053,0.8437870915421108,0.7119766558530946
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,True,648,518,130,100.0,0.6630327612783251,0.6652627542363962,0.8263485903836475,0.6828519928290412,0.9671630917925278,0.9844852243854706,0.9692111570333104,0.6414029059268238,0.8370854711642823,0.7007120860343286,0.6060158402904348,0.7798993665792224,0.6082430219906724
