,district,year,yield_mt,log_yield,district_yield_mean,demean_yield,k-fold_prediction,k-fold_district_prediction_mean,k-fold_demean_prediction,logo_prediction,logo_district_prediction_mean,logo_demean_prediction
308,Mufumbwe,2018,2.4339726,0.5357968255609844,0.5201085753352331,0.015688250225751266,0.48821286159840815,0.4972821418637456,-0.009069280265337432,0.48262202955088773,0.4893357159128687,-0.006713686361980942
309,Mufumbwe,2019,2.066056062,0.48658009154727033,0.5201085753352331,-0.033528483787962804,0.4726080998234228,0.4972821418637456,-0.024674042040322808,0.43243024653186146,0.4893357159128687,-0.05690546938100721
310,Mufumbwe,2020,2.59355582,0.5555243952981505,0.5201085753352331,0.035415819962917316,0.4995000447909301,0.4972821418637456,0.0022179029271844897,0.6141337611776374,0.4893357159128687,0.12479804526476873
311,Mufumbwe,2021,1.945550485,0.4691664706873657,0.5201085753352331,-0.050942104647867414,0.4174213911250292,0.4972821418637456,-0.0798607507387164,0.25013852573041684,0.4893357159128687,-0.23919719018245184
312,Mumbwa,2016,2.162931,0.5000897177942845,0.3785229840395894,0.12156673375469507,0.5142804861386562,0.4138838676181679,0.10039661852048826,0.4674359399253855,0.417864914341475,0.04957102558391052
313,Mumbwa,2017,1.8183885,0.4500008581050867,0.3785229840395894,0.07147787406549733,0.45362666042430144,0.4138838676181679,0.03974279280613352,0.403752488937034,0.417864914341475,-0.014112425404440965
314,Mumbwa,2018,1.5806259,0.41172505168013485,0.3785229840395894,0.03320206764054545,0.4287890869711911,0.4138838676181679,0.014905219353023191,0.4553243035632533,0.417864914341475,0.03745938922177833
315,Mumbwa,2019,0.502478514,0.176808270147018,0.3785229840395894,-0.2017147138925714,0.2905212799991602,0.4138838676181679,-0.1233625876190077,0.36883974046184953,0.417864914341475,-0.04902517387962546
316,Mumbwa,2020,1.07829057,0.3177062670544359,0.3785229840395894,-0.06081671698515351,0.36909851931482723,0.4138838676181679,-0.04478534830334069,0.546367298336371,0.417864914341475,0.128502383994896
317,Mumbwa,2021,1.599008737,0.41480773945657656,0.3785229840395894,0.03628475541698717,0.42698717286087107,0.4138838676181679,0.013103305242703145,0.26546971482495635,0.417864914341475,-0.15239519951651864
318,Mungwi,2016,3.4897926,0.6522262798104704,0.6116878051625724,0.04053847464789806,0.6019415393671358,0.6069270248480553,-0.004985485480919483,0.5496470499208091,0.6005435591232459,-0.05089650920243671
319,Mungwi,2017,3.0053055,0.6026356469880974,0.6116878051625724,-0.009052158174475022,0.6328376221580565,0.6069270248480553,0.025910597310001227,0.7482430489792171,0.6005435591232459,0.14769948985597126
320,Mungwi,2018,3.3023338,0.6337041024424721,0.6116878051625724,0.022016297279899733,0.6111551350292748,0.6069270248480553,0.004228110181219491,0.58128629551272,0.6005435591232459,-0.01925726361052582
321,Mungwi,2019,2.7420998,0.5731153657431802,0.6116878051625724,-0.038572439419392146,0.6145791875687602,0.6069270248480553,0.0076521627207049026,0.6125236175530105,0.6005435591232459,0.011980058429764684
