district,year,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,ndvi_6,ndvi_7,ndvi_8,ndvi_9,ndvi_10,ndvi_11,ndvi_12
Chadiza,2002,6714.80029296875,6829.41259765625,6812.2138671875,6643.7333984375,5800.154296875,5082.7998046875,4463.05029296875,3722.711181640625,3331.4814453125,3810.70166015625,4079.057861328125,5848.6181640625
Chipata,2002,7164.48876953125,7402.0634765625,7461.03955078125,6907.4560546875,5957.3623046875,5091.53271484375,4304.8369140625,3602.845947265625,3256.253173828125,3739.103515625,4008.90625,5804.15283203125
Katete,2002,6816.5927734375,7144.908203125,6841.66650390625,6472.07666015625,5447.18359375,4556.0546875,3766.78271484375,3222.668212890625,3002.858154296875,3385.32470703125,3665.84033203125,5429.58251953125
Lundazi,2002,6957.119140625,7318.39111328125,7351.65625,7124.54931640625,6322.7939453125,5490.02978515625,4683.39794921875,3957.546875,3436.68359375,3593.269287109375,4012.119873046875,5281.974609375
Mambwe,2002,7507.54248046875,7884.53662109375,7847.427734375,7349.91162109375,6358.8837890625,5302.65771484375,4208.7724609375,3499.09814453125,3187.9638671875,3484.676513671875,3990.388427734375,5953.59765625
Nyimba,2002,7177.02099609375,7449.17041015625,7198.0458984375,6620.04248046875,5389.2783203125,4388.77880859375,3588.83447265625,3169.621826171875,3012.03759765625,3469.41796875,3907.4423828125,5986.4501953125
Petauke,2002,7511.59130859375,7577.6279296875,7287.92236328125,6800.79638671875,5435.70654296875,4330.62451171875,3664.915283203125,3314.824462890625,3137.0283203125,3791.5673828125,4664.15576171875,6731.916015625
Chiengi,2002,6044.18310546875,6343.310546875,5948.22021484375,6104.2421875,6363.56787109375,5740.83544921875,4498.03369140625,3566.0263671875,2795.41455078125,4169.2041015625,5461.30908203125,6639.2607421875
Kawambwa,2002,7495.5087890625,7508.5771484375,7576.712890625,7481.90380859375,6940.6142578125,6258.49755859375,5492.33642578125,4913.74609375,4583.42529296875,5531.7490234375,6889.50830078125,7601.1806640625
Mansa,2002,7484.935546875,7355.822265625,7488.69384765625,7261.9287109375,6472.357421875,5621.5419921875,4870.14501953125,4355.474609375,4081.589599609375,4451.494140625,6204.9765625,7385.97509765625
Milenge,2002,7640.04248046875,7448.43701171875,7622.86962890625,7377.73095703125,6691.17041015625,5745.9619140625,4906.22412109375,4479.84375,4318.44482421875,4996.23974609375,6300.8271484375,7355.220703125
Mwense,2002,7519.32666015625,7556.7138671875,7661.67822265625,7485.0849609375,6782.99267578125,5999.51611328125,5267.26171875,4704.07861328125,4256.0400390625,4816.56591796875,6458.23779296875,7556.310546875
Nchelenge,2002,4780.33447265625,5513.71044921875,5633.0830078125,5946.93017578125,6307.44970703125,5829.0322265625,4857.19873046875,4276.85595703125,3254.25634765625,3429.083251953125,4855.61572265625,6441.95947265625
Samfya,2002,6119.65576171875,6102.169921875,6253.4609375,6194.65771484375,5732.0224609375,5142.68505859375,4659.45703125,4278.478515625,4000.596435546875,4140.3994140625,4910.5234375,5812.28173828125
Chongwe,2002,7191.3681640625,7331.640625,6719.099609375,6269.955078125,5682.3447265625,4906.947265625,4083.095947265625,3543.67529296875,3318.71142578125,4006.77783203125,5171.11767578125,6950.37890625
Kafue,2002,7008.0390625,7269.56494140625,6525.64208984375,5812.23388671875,5420.28173828125,4690.8017578125,3909.62939453125,3381.314453125,3139.656005859375,3655.54443359375,5085.5400390625,7005.61962890625
